cod_sku,denumire,categorie,producator,garantie_luni,status,depozit,oras_depozit,tara_depozit,cantitate,prag_minim,socket,memory_type,form_factor,interface,storage_form
-AMD-RYZEN-5-4600G,AMD Ryzen 5 4600G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-9600,AMD Ryzen 5 9600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-5-2,Intel Core Ultra 5 235,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-4790K,Intel Core i7-4790K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-8400,Intel Core i5-8400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-6700,Intel Core i7-6700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-5-2,Intel Core Ultra 5 225,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3500X,AMD Ryzen 5 3500X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-14700,Intel Core i7-14700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-1600-(14,AMD Ryzen 5 1600 (14nm),CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-11900K,Intel Core i9-11900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-10700F,Intel Core i7-10700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-10100F,Intel Core i3-10100F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-11700F,Intel Core i7-11700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-13500,Intel Core i5-13500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-PENTIUM-E2220,Intel Pentium E2220,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-12700,Intel Core i7-12700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-10600K,Intel Core i5-10600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-6600K,Intel Core i5-6600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-9-2,Intel Core Ultra 9 285,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-4770K,Intel Core i7-4770K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-3770,Intel Core i7-3770,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-10700,Intel Core i7-10700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-3950X,AMD Ryzen 9 3950X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-6100,Intel Core i3-6100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-THREADRIPPER-396,AMD Threadripper 3960X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-2700,AMD Ryzen 7 2700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-7500,Intel Core i5-7500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-14500,Intel Core i5-14500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-9700,Intel Core i7-9700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-7-2,Intel Core Ultra 7 265,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-11400,Intel Core i5-11400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-10850K,Intel Core i9-10850K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-7400,Intel Core i5-7400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-13900K,Intel Core i9-13900KS,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-7-2,Intel Core Ultra 7 265F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-8100,Intel Core i3-8100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-4790,Intel Core i7-4790,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-XEON-E5-2699-V,Intel Xeon E5-2699 V4,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-4690K,Intel Core i5-4690K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-XEON-E5-2680-V,Intel Xeon E5-2680 V4,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-12900K,Intel Core i9-12900KS,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-1700,AMD Ryzen 7 1700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-8600K,Intel Core i5-8600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-10100,Intel Core i3-10100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-PENTIUM-G640,Intel Pentium G640,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-9900KF,Intel Core i9-9900KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-9700F,Intel Core i7-9700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-EPYC-4564P,AMD EPYC 4564P,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-2200G,AMD Ryzen 3 2200G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-2400G,AMD Ryzen 5 2400G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-12500,Intel Core i5-12500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600X3D,AMD Ryzen 5 5600X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-9100F,Intel Core i3-9100F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-8500,Intel Core i5-8500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-11600K,Intel Core i5-11600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-7500T,Intel Core i5-7500T,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-4590,Intel Core i5-4590,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-1600-(12,AMD Ryzen 5 1600 (12nm),CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-ATHLON-3000G-(14,AMD Athlon 3000G (14nm),CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-10700K,Intel Core i7-10700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-3770K,Intel Core i7-3770K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-3900XT,AMD Ryzen 9 3900XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-10105F,Intel Core i3-10105F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-7600,Intel Core i5-7600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-9700KF,Intel Core i7-9700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-4770,Intel Core i7-4770,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-3470,Intel Core i5-3470,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-FX-8350,AMD FX-8350,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-1600X,AMD Ryzen 5 1600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-2650,AMD 2650,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-11700K,Intel Core i7-11700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-4150,Intel Core i3-4150,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-11700,Intel Core i7-11700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-5-2,Intel Core Ultra 5 245KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-6950X,Intel Core i7-6950X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-7600K,Intel Core i5-7600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3500,AMD Ryzen 5 3500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-13100,Intel Core i3-13100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-11900K,Intel Core i9-11900KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-1700X,AMD Ryzen 7 1700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-3800XT,AMD Ryzen 7 3800XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-13700,Intel Core i7-13700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-3300X,AMD Ryzen 3 3300X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-14900F,Intel Core i9-14900F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-1800X,AMD Ryzen 7 1800X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3600XT,AMD Ryzen 5 3600XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-4570,Intel Core i5-4570,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-11600K,Intel Core i5-11600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-2400,Intel Core i5-2400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-9600KF,Intel Core i5-9600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-9400,Intel Core i5-9400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-10105,Intel Core i3-10105,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-4460,Intel Core i5-4460,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-1200-(14,AMD Ryzen 3 1200 (14nm),CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-10600K,Intel Core i5-10600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-1400,AMD Ryzen 5 1400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-6400,Intel Core i5-6400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-6800K,Intel Core i7-6800K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-4570T,Intel Core i5-4570T,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600T,AMD Ryzen 5 5600T,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
